Holder,Common Stock Equivalent Held (actual),Percent of Common Shares Outstanding,Market Value ($M),Change in Shares (actual),Change (%),Position Date,Source,Portfolio Turnover Category,Portfolio Turnover (%),Investment Orientation,Equity Assets ($M),City,State,Country,Calculated Investment Style,Calculated Market Cap Emphasis,Owner Type,Funds,Derivatives Ex. 60 Days
Hussman Strategic Advisors Inc,"6,200",0.00,0.9,"(4,200)",(40.39),9/30/22,13F,Moderate  ,86.66,Active    ,676.50,Ellicott City,MD,USA,GARP,Large Cap ,Traditional Investment Managers,2,
Dentgroup LLC,"6,199",0.00,0.9,24,0.39,12/31/22,13F,,,Active    ,13.84,Baton Rouge,LA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Braun-Bostich & Associates Inc.,"6,177",0.00,0.9,(575),(8.52),9/30/22,13F,Moderate  ,66.48,Active    ,6.90,Canonsburg,PA,USA,Growth,Large Cap ,Family Offices/Trusts,,
Wiser Wealth Management Inc.,"6,174",0.00,0.9,"(1,645)",(21.04),9/30/22,13F,,,Active    ,3.15,Marietta,GA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Holland Advisory Services Inc.,"6,166",0.00,0.9,2,0.03,12/31/22,13F,,,Active    ,5.47,Ormond Beach,FL,USA,Blend,Large Cap ,Traditional Investment Managers,,
Sageworth Trust Co.,"6,165",0.00,0.9,49,0.80,12/31/22,13F,Very Low  ,17.00,Active    ,53.34,Lancaster,PA,USA,Growth,Large Cap ,Family Offices/Trusts,,
Kooman & Associates,"6,144",0.00,0.9,"6,144",,12/31/22,13F,,,,6.12,Altoona,PA,USA,Growth,Large Cap ,Corporations (Private),,
Mokosak Advisory Group LLC,"6,122",0.00,0.9,340,5.88,9/30/22,13F,Very Low  ,8.86,Active    ,3.01,Urbandale,IA,USA,GARP,Large Cap ,Traditional Investment Managers,,
Copernicus Asset Management SA,"6,100",0.00,0.9,0,,6/30/22,Aggregated Mutual Funds,Moderate  ,74.23,Active    ,66.17,Lugano,,Switzerland,GARP,Large Cap ,Traditional Investment Managers,1,
Financial Gravity Asset Management Inc.,"6,090",0.00,0.9,"(5,361)",(46.82),9/30/22,13F,,,Active    ,284.21,Lakeway,TX,USA,Blend,Large Cap ,Traditional Investment Managers,,
MBE Wealth Management LLC,"6,086",0.00,0.9,(138),(2.22),12/31/22,13F,Low       ,25.11,Active    ,12.55,Tomah,WI,USA,Growth,Large Cap ,Traditional Investment Managers,,
Guidance Point Advisors LLC,"6,086",0.00,0.9,7,0.12,12/31/22,13F,Very Low  ,10.82,Active    ,60.18,Boston,MA,USA,Deep Value,Large Cap ,Family Offices/Trusts,,
Naviga Solutions (Pty) Ltd,"6,065",0.00,0.9,(172),(2.76),9/30/22,Aggregated Mutual Funds,Low       ,22.71,Active    ,25.05,Cape Town,,South Africa,Growth,Large Cap ,Traditional Investment Managers,1,
Hyperion Capital Advisors LP,"6,047",0.00,0.9,0,,9/30/22,13F,Very Low  ,19.13,Active    ,234.85,New York,NY,USA,Growth,Large Cap ,Traditional Investment Managers,,
NBG Asset Management MFMC,"6,000",0.00,0.9,0,,12/31/21,Aggregated Mutual Funds,Low       ,20.27,Active    ,293.74,Athens,,Greece,GARP,Multi Cap ,Traditional Investment Managers,1,
MAV Vermoegensverwaltung GmbH,"6,000",0.00,0.9,0,,9/30/22,Aggregated Mutual Funds,Very Low  ,15.27,Active    ,17.87,,,Germany,Growth,Large Cap ,Traditional Investment Managers,1,
Riverfield Partners LLP,"6,000",0.00,0.9,0,,6/30/22,Aggregated Mutual Funds,Low       ,22.65,Active    ,67.20,London,,United Kingdom,Growth,Large Cap ,Traditional Investment Managers,1,
Agora Investments SGR SpA,"6,000",0.00,0.9,0,,6/30/22,Aggregated Mutual Funds,Low       ,27.81,Active    ,24.10,Roma,RM,Italy,Growth,Large Cap ,Traditional Investment Managers,1,
Interval Partners LP,"6,000",0.00,0.9,"6,000",,9/30/22,13F,High      ,155.70,Active    ,"1,989.45",New York,NY,USA,Blend,Large Cap ,Hedge Fund Managers (<5% stake),,
Kerntke Otto McGlone Wealth Management Group,"5,989",0.00,0.9,(8),(0.13),9/30/22,13F,Very Low  ,18.74,Active    ,13.80,Appleton,WI,USA,Growth,Large Cap ,Traditional Investment Managers,,
NorthLanding Financial Partners LLC,"5,976",0.00,0.9,"5,976",,9/30/22,13F,,,Active    ,13.11,Rochester,NY,USA,Blend,Large Cap ,Family Offices/Trusts,,
Penbrook Management LLC,"5,967",0.00,0.9,"(5,800)",(49.29),12/31/22,13F,Very Low  ,12.54,Active    ,121.19,New York,NY,USA,Growth,Large Cap ,Traditional Investment Managers,,
Eniso Partners AG,"5,960",0.00,0.9,0,,6/30/22,Aggregated Mutual Funds,Low       ,31.62,Active    ,71.31,Zurich,,Switzerland,Growth,Large Cap ,Traditional Investment Managers,2,
Cardinal Capital Management Inc.,"5,958",0.00,0.9,"4,473",301.21,9/30/22,13F,Very Low  ,15.72,Active    ,"1,871.83",Winnipeg,MB,Canada,Value,Large Cap ,Traditional Investment Managers,,
Coury Firm Asset Management LLC,"5,954",0.00,0.9,181,3.14,9/30/22,13F,,,Active    ,13.25,Pittsburgh,PA,USA,Value,Large Cap ,Hedge Fund Managers (<5% stake),,
Capital Management Corp.,"5,949",0.00,0.9,(147),(2.41),12/31/22,13F,Low       ,44.70,Active    ,442.96,Glen Allen,VA,USA,GARP,Large Cap ,Traditional Investment Managers,,
IAG Wealth Partners LLC,"5,943",0.00,0.8,715,13.68,9/30/22,13F,Very Low  ,13.30,Active    ,9.29,Waukesha,WI,USA,Growth,Large Cap ,Family Offices/Trusts,,
Forte Asset Management LLC,"5,923",0.00,0.8,600,11.27,12/31/22,13F,,,Active    ,6.11,Bedford,NY,USA,Aggressive Growth,Large Cap ,Family Offices/Trusts,,
Provident Investment Management Inc.,"5,916",0.00,0.8,0,,9/30/22,13F,Very Low  ,17.20,Active    ,921.11,Novi,MI,USA,Growth,Large Cap ,Traditional Investment Managers,,
Autus Fund Managers (Pty) Ltd,"5,906",0.00,0.8,0,,6/30/22,Aggregated Mutual Funds,Low       ,47.87,Active    ,27.35,Durbanville,,South Africa,Growth,Large Cap ,Traditional Investment Managers,1,
Compton Financial Group LLC,"5,901",0.00,0.8,0,,9/30/22,13F,,,Active    ,6.77,Towson,MD,USA,GARP,Large Cap ,Family Offices/Trusts,,
Ecofi Investissements,"5,900",0.00,0.8,(100),(1.67),10/31/22,Aggregated Mutual Funds,Low       ,32.10,Active    ,553.65,Paris,,France,Growth,Large Cap ,Traditional Investment Managers,2,
Asset Management Resources LLC,"5,896",0.00,0.8,80,1.38,9/30/22,13F,,,Active    ,13.10,Hyannis,MA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Prism Advisors Inc.,"5,876",0.00,0.8,801,15.78,9/30/22,13F,Low       ,20.66,Active    ,2.17,Studio City,CA,USA,Blend,Large Cap ,Traditional Investment Managers,,
Plurimi Investment Managers LLP,"5,875",0.00,0.8,0,,6/30/22,Aggregated Mutual Funds,Low       ,29.63,,19.79,London,,United Kingdom,Growth,Large Cap ,Traditional Investment Managers,1,
MW Gestion SA,"5,873",0.00,0.8,0,,6/30/22,Aggregated Mutual Funds,Low       ,25.85,Passive   ,98.53,Paris,,France,Growth,Large Cap ,Traditional Investment Managers,2,
Greiff Capital Management AG,"5,850",0.00,0.8,0,,3/31/22,Aggregated Mutual Funds,Low       ,40.89,Active    ,182.96,Freiburg,,Germany,Blend,Multi Cap ,Traditional Investment Managers,1,
Highmark Wealth Management LLC,"5,824",0.00,0.8,126,2.21,9/30/22,13F,Very Low  ,16.27,Active    ,26.98,St. Paul,MN,USA,Growth,Large Cap ,Traditional Investment Managers,,
Highland Financial Advisors LLC,"5,822",0.00,0.8,718,14.07,9/30/22,13F,,,Active    ,3.25,Wayne,NJ,USA,Growth,Large Cap ,Family Offices/Trusts,,
Enhancing Capital LLC,"5,795",0.00,0.8,0,,9/30/22,13F,,,Active    ,88.43,Harrisburg,PA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Covey Capital Advisors LLC,"5,782",0.00,0.8,0,,9/30/22,13F,Very Low  ,16.53,Active    ,67.43,Atlanta,GA,USA,Blend,Large Cap ,Hedge Fund Managers (<5% stake),,
"McNaughton Wealth Management, LLC","5,781",0.00,0.8,53,0.93,9/30/22,13F,Very Low  ,13.09,Active    ,5.93,San Diego,CA,USA,Growth,Large Cap ,Traditional Investment Managers,,
CWB Wealth Management Ltd.,"5,776",0.00,0.8,0,,6/30/22,Aggregated Mutual Funds,Very Low  ,19.07,Active    ,28.31,Edmonton,AB,Canada,Growth,Large Cap ,Traditional Investment Managers,1,
BOCHK Asset Management Ltd.,"5,771",0.00,0.8,0,,6/30/22,Aggregated Mutual Funds,Moderate  ,72.42,Active    ,101.75,Central,,Hong Kong,Growth,Large Cap ,Traditional Investment Managers,2,
ATLAS Asset Management LLC,"5,766",0.00,0.8,0,,9/30/22,Aggregated Mutual Funds,,,Active    ,25.58,Guaynabo,PR,USA,Value,Large Cap ,Traditional Investment Managers,1,
SRN Advisors LLC,"5,764",0.00,0.8,(5),(0.09),12/31/22,Aggregated Mutual Funds,Moderate  ,54.19,Active    ,125.10,Huntingdon Valley,PA,USA,Growth,Large Cap ,Traditional Investment Managers,2,
James Reed Financial Services Inc.,"5,759",0.00,0.8,0,,9/30/22,13F,,,Active    ,2.62,Beachwood,OH,USA,Blend,Large Cap ,Traditional Investment Managers,,
Guardian Wealth Management Inc.,"5,757",0.00,0.8,335,6.18,9/30/22,13F,,,Active    ,93.47,Peoria,IL,USA,Growth,Large Cap ,Traditional Investment Managers,,
Ayalon Mutual Funds Ltd.,"5,711",0.00,0.8,(975),(14.58),10/31/22,Aggregated Mutual Funds,Low       ,25.80,Active    ,436.98,,,Israel,GARP,Small Cap ,Traditional Investment Managers,13,
New Legacy Group LLC,"5,700",0.00,0.8,"(1,200)",(17.39),9/30/22,13F,,,Active    ,12.97,New York,NY,USA,Growth,Large Cap ,Unclassified,,
Family Finance First,"5,700",0.00,0.8,0,,3/31/22,Aggregated Mutual Funds,Very Low  ,16.46,Active    ,32.10,Paris,,France,Growth,Large Cap ,Traditional Investment Managers,1,
Ameraudi Asset Management Inc.,"5,671",0.00,0.8,"3,200",129.50,9/30/22,13F,Low       ,46.64,Passive   ,2.97,New York,NY,USA,Growth,Large Cap ,Traditional Investment Managers,,
LWS Wealth Advisors Inc.,"5,663",0.00,0.8,18,0.32,9/30/22,13F,Low       ,22.91,Active    ,4.35,Basking Ridge,NJ,USA,Growth,Large Cap ,Family Offices/Trusts,,
Cullen Capital Management LLC,"5,640",0.00,0.8,0,,9/30/22,13F,Very Low  ,13.11,Active    ,"11,168.48",New York,NY,USA,Value,Large Cap ,Traditional Investment Managers,,
Old Mutual Customised Solutions (Pty) Ltd.,"5,613",0.00,0.8,"5,613",,9/30/22,Aggregated Mutual Funds,Low       ,25.94,Passive   ,628.87,Pinelands,,South Africa,Growth,Large Cap ,Traditional Investment Managers,2,
Guardian Partners Inc.,"5,612",0.00,0.8,0,,9/30/22,13F,,,Active    ,25.45,Toronto,,Canada,GARP,Large Cap ,Family Offices/Trusts,,
Endowment Wealth Management Inc.,"5,611",0.00,0.8,"2,236",66.25,9/30/22,13F,,,Active    ,23.87,Appleton,WI,USA,Growth,Large Cap ,Family Offices/Trusts,,
Flagship Pvt. Wealth LLC,"5,604",0.00,0.8,838,17.58,12/31/22,13F,Very Low  ,15.27,Active    ,6.62,Woburn,MA,USA,Growth,Large Cap ,Family Offices/Trusts,,
Pure Capital S.A.,"5,600",0.00,0.8,0,,6/30/22,Aggregated Mutual Funds,Very Low  ,16.67,Active    ,268.69,Strassen,,Luxembourg,Blend,Small Cap ,Traditional Investment Managers,1,
AMJ Financial Wealth Management LLC,"5,593",0.00,0.8,999,21.75,9/30/22,13F,Moderate  ,83.19,Active    ,102.02,Leesburg,VA,USA,Growth,Large Cap ,Family Offices/Trusts,,
BMS Financial Advisors LLC,"5,580",0.00,0.8,(6),(0.11),12/31/22,13F,,,Active    ,36.48,Rapid City,SD,USA,Growth,Large Cap ,Family Offices/Trusts,,
MC Vermögensmanagement AG,"5,570",0.00,0.8,0,,6/30/22,Aggregated Mutual Funds,Low       ,23.06,Active    ,51.03,Vaduz,,Liechtenstein,Growth,Large Cap ,Traditional Investment Managers,2,
Symphonic Financial Advisors LLC,"5,556",0.00,0.8,(118),(2.08),9/30/22,13F,Very Low  ,18.27,Active    ,10.98,New York,NY,USA,Growth,Large Cap ,Traditional Investment Managers,,
Firstpurpose Wealth Llc,"5,544",0.00,0.8,331,6.35,12/31/22,13F,,,Active    ,66.95,Orem,UT,USA,Blend,Large Cap ,Family Offices/Trusts,,
Keeley-Teton Advisors LLC,"5,535",0.00,0.8,(90),(1.60),9/30/22,13F,Low       ,27.01,Active    ,783.93,Chicago,IL,USA,GARP,Mid Cap   ,Traditional Investment Managers,,
GoalVest Advisory LLC,"5,527",0.00,0.8,(161),(2.83),12/31/22,13F,,,Active    ,67.93,New York,NY,USA,Blend,Large Cap ,Traditional Investment Managers,,
Alias Partners SA,"5,518",0.00,0.8,0,,3/31/22,Aggregated Mutual Funds,,,Active    ,130.78,Geneva,,Switzerland,Growth,Large Cap ,Traditional Investment Managers,1,
Union Investment TFI S.A,"5,517",0.00,0.8,0,,6/30/22,Aggregated Mutual Funds,Very Low  ,12.83,Active    ,226.34,Warsaw,,Poland,Growth,Mid Cap   ,Traditional Investment Managers,9,
Franz Martz & SÖHne Private Treuhand Gmbh,"5,500",0.00,0.8,0,,2/28/22,Aggregated Mutual Funds,Very Low  ,17.71,Active    ,47.54,Saarbrucken,,Germany,Growth,Large Cap ,Traditional Investment Managers,2,
Artico Partners AG,"5,500",0.00,0.8,0,,12/31/21,Aggregated Mutual Funds,Low       ,34.32,Active    ,113.04,Zurich,,Switzerland,GARP,Large Cap ,Traditional Investment Managers,1,
Odyssey Capital Managers (Pty) Ltd.,"5,500",0.00,0.8,0,,12/31/21,Aggregated Mutual Funds,,,Active    ,18.49,,,South Africa,Growth,Large Cap ,Traditional Investment Managers,1,
Graubündner Kantonalbank,"5,500",0.00,0.8,"5,500",,7/31/22,Aggregated Mutual Funds,Low       ,24.79,Active    ,259.46,Chur,,Switzerland,GARP,Large Cap ,Banks/Investment Banks,1,
Oberweis Asset Management Inc.,"5,478",0.00,0.8,(179),(3.16),9/30/22,13F,Moderate  ,63.43,Active    ,"1,471.24",Lisle,IL,USA,Growth,Mid Cap   ,Traditional Investment Managers,,
Independent Family Office LLC,"5,465",0.00,0.8,(280),(4.87),9/30/22,13F,Very Low  ,9.42,Active    ,75.15,Albany,NY,USA,Aggressive Growth,Large Cap ,Family Offices/Trusts,,
Pillar Wealth Advisors LLC,"5,464",0.00,0.8,0,,9/30/22,13F,,,Active    ,6.62,Wilmington,DE,USA,Growth,Large Cap ,Traditional Investment Managers,,
Piershale Financial Group Inc.,"5,460",0.00,0.8,276,5.32,12/31/22,13F,High      ,137.57,Active    ,8.97,Crystal Lake,IL,USA,Blend,Large Cap ,Family Offices/Trusts,,
Theory Financial LLC,"5,458",0.00,0.8,0,,6/30/22,13F,,,Active    ,4.87,Fort Collins,CO,USA,Growth,Large Cap ,Traditional Investment Managers,,
Financial Futures LLC,"5,454",0.00,0.8,(210),(3.71),9/30/22,13F,,,Active    ,4.17,Brielle,NJ,USA,Growth,Large Cap ,Family Offices/Trusts,,
Asset Planning Corp.,"5,439",0.00,0.8,6,0.11,12/31/22,13F,Very Low  ,16.15,Active    ,6.50,Knoxville,TN,USA,Growth,Large Cap ,Family Offices/Trusts,,
Proquility Pvt. Wealth Partners LLC,"5,431",0.00,0.8,"(2,250)",(29.29),9/30/22,13F,,,Active    ,88.86,Las Vegas,NV,USA,GARP,Large Cap ,Family Offices/Trusts,,
Ackerman Capital Advisors LLC,"5,411",0.00,0.8,"(1,000)",(15.60),12/31/22,13F,Moderate  ,65.43,Passive   ,31.77,Dallas,TX,USA,Growth,Large Cap ,Traditional Investment Managers,,
Disciplined Equity Management Inc.,"5,396",0.00,0.8,670,14.18,12/31/22,13F,,,Active    ,36.02,Neptune Beach,FL,USA,GARP,Large Cap ,Traditional Investment Managers,,
Briaud Financial Planning Inc.,"5,315",0.00,0.8,619,13.18,9/30/22,13F,Low       ,25.55,Active    ,5.33,College Station,TX,USA,Growth,Large Cap ,Family Offices/Trusts,,
Avant Capital LLC,"5,310",0.00,0.8,486,10.08,9/30/22,13F,,,Active    ,3.82,Lafayette,LA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Globalance Bank AG,"5,296",0.00,0.8,0,,2/28/22,Aggregated Mutual Funds,Low       ,24.40,Active    ,94.73,Zurich,,Switzerland,Growth,Large Cap ,Traditional Investment Managers,1,
Vista Pvt. Wealth Partners LLC,"5,255",0.00,0.8,(521),(9.02),12/31/22,13F,Low       ,26.43,Active    ,9.76,Denver,CO,USA,Growth,Large Cap ,Traditional Investment Managers,,
Patrick Mauro Investment Advisor Inc.,"5,253",0.00,0.8,"5,253",,9/30/22,13F,,,Active    ,141.51,Oak Brook,IL,USA,Blend,Large Cap ,Traditional Investment Managers,,
Range Financial Group LLC,"5,239",0.00,0.7,(783),(13.00),12/31/22,13F,,,Active    ,106.86,Tigard,OR,USA,GARP,Large Cap ,Traditional Investment Managers,,
MAS Advisors LLC,"5,224",0.00,0.7,(239),(4.38),9/30/22,13F,,,Active    ,16.00,Miami,FL,USA,GARP,Large Cap ,Traditional Investment Managers,,
Sparrow Capital Management Inc.,"5,210",0.00,0.7,0,,11/30/22,Aggregated Mutual Funds,Moderate  ,81.86,Active    ,36.98,Saint Louis,MO,USA,Growth,Large Cap ,Traditional Investment Managers,1,
Jentner Corp.,"5,169",0.00,0.7,2,0.04,9/30/22,13F,Very Low  ,6.69,Active    ,4.69,Akron,OH,USA,Blend,Large Cap ,Traditional Investment Managers,,
Peak Financial Advisors LLC,"5,161",0.00,0.7,(124),(2.35),12/31/22,13F,High      ,130.71,Active    ,36.94,DENVER,CO,USA,Growth,Large Cap ,Family Offices/Trusts,,
VP Fund Solutions (Liechtenstein) AG,"5,157",0.00,0.7,0,,6/30/22,Aggregated Mutual Funds,Very Low  ,19.82,Active    ,"7,684.62",Vaduz,,Liechtenstein,Aggressive Growth,Large Cap ,Traditional Investment Managers,4,
Nest Egg Capital (Pty) Ltd,"5,098",0.00,0.7,0,,9/30/22,Aggregated Mutual Funds,Low       ,22.35,Active    ,30.20,,,South Africa,Growth,Large Cap ,Traditional Investment Managers,2,
Barnett & Co. Inc.,"5,064",0.00,0.7,0,,12/31/22,13F,Low       ,26.39,Active    ,129.36,Chattanooga,TN,USA,GARP,Large Cap ,Traditional Investment Managers,,
"Intrepid Capital Mgmt, Inc. (Florida)","5,059",0.00,0.7,241,5.00,9/30/22,13F,Low       ,45.73,Active    ,113.21,Jacksonville Beach,FL,USA,Growth,Mid Cap   ,Traditional Investment Managers,,
First Business Financial Services Inc.,"5,058",0.00,0.7,"(53,225)",(91.32),9/30/22,13F,Very Low  ,13.91,Active    ,156.99,Madison,WI,USA,Growth,Large Cap ,Banks/Investment Banks,,
Unconventional Investor LLC,"5,055",0.00,0.7,2,0.04,9/30/22,13F,,,Active    ,21.71,Portsmouth,NH,USA,Blend,Large Cap ,Traditional Investment Managers,,
Lane Generational LLC,"5,044",0.00,0.7,(508),(9.15),9/30/22,13F,,,Active    ,75.42,Dover,MA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Shore Point Advisors LLC,"5,033",0.00,0.7,"5,033",,12/31/22,13F,,,Active    ,5.78,Brielle,NJ,USA,Growth,Large Cap ,Traditional Investment Managers,,
"Cassia Capital Partners, LLC","5,009",0.00,0.7,979,24.29,12/31/22,13F,High      ,118.73,Active    ,21.38,Winston-Salem,NC,USA,Growth,Large Cap ,Family Offices/Trusts,,
Cavalier Investments LLC,"5,002",0.00,0.7,"(1,844)",(26.94),9/30/22,13F,Moderate  ,68.79,Active    ,37.76,Alpharetta,GA,USA,Growth,Large Cap ,Traditional Investment Managers,1,
Actis Asset Management,"5,000",0.00,0.7,0,,12/31/21,Aggregated Mutual Funds,Very Low  ,7.92,Active    ,77.67,Paris,,France,Growth,Large Cap ,Traditional Investment Managers,1,
Ulysses Management LLC,"5,000",0.00,0.7,"(7,000)",(58.33),9/30/22,13F,Moderate  ,58.42,Active    ,377.18,New York,NY,USA,Growth,Large Cap ,VC/PE Firms (<5% stake),,
Maneris AG,"5,000",0.00,0.7,0,,3/31/22,Aggregated Mutual Funds,Very Low  ,7.83,Active    ,19.41,Siegen,,Germany,Growth,Large Cap ,Traditional Investment Managers,1,
Dreyfus Sons & Co Ltd Banquiers,"5,000",0.00,0.7,0,,4/30/22,Aggregated Mutual Funds,Very Low  ,9.32,Active    ,449.56,Basel,,Switzerland,Deep Value,Large Cap ,Traditional Investment Managers,1,
USAdvisors Wealth Management LLC,"4,986",0.00,0.7,(228),(4.37),9/30/22,13F,Moderate  ,55.52,Active    ,9.29,Eden Prairie,MN,USA,Blend,Large Cap ,Traditional Investment Managers,,
Topel & DiStasi Wealth Management LLC,"4,954",0.00,0.7,(96),(1.90),9/30/22,13F,,,Active    ,2.72,Berkeley,CA,USA,Blend,Large Cap ,Traditional Investment Managers,,
Safeguard Financial LLC,"4,950",0.00,0.7,(631),(11.31),12/31/22,13F,,,Active    ,7.91,Green Bay,WI,USA,Growth,Large Cap ,Family Offices/Trusts,,
Butterfield Bank (Cayman) Ltd.,"4,947",0.00,0.7,0,,6/30/22,Aggregated Mutual Funds,Very Low  ,16.95,Active    ,14.43,George Town,,Cayman Islands,Growth,Large Cap ,Traditional Investment Managers,2,
Capital Impact Advisors LLC,"4,941",0.00,0.7,"(1,643)",(24.95),9/30/22,13F,Moderate  ,75.46,Active    ,128.03,Boston,MA,USA,Growth,Mid Cap   ,Traditional Investment Managers,1,
Twelve Points Wealth Management LLC,"4,932",0.00,0.7,(35),(0.71),12/31/22,13F,,,Active    ,79.95,Concord,MA,USA,GARP,Large Cap ,Family Offices/Trusts,,
Martin Capital Partners LLC,"4,917",0.00,0.7,"(9,677)",(66.31),12/31/22,13F,Very Low  ,10.35,Active    ,216.50,Eugene,OR,USA,Value,Large Cap ,Traditional Investment Managers,,
Efficient Select (Pty) Ltd.,"4,904",0.00,0.7,0,,9/30/22,Aggregated Mutual Funds,Low       ,27.91,Active    ,33.16,Pretoria,,South Africa,Growth,Large Cap ,Traditional Investment Managers,1,
Bordier & Cie (France) SA,"4,900",0.00,0.7,0,,12/31/21,Aggregated Mutual Funds,Low       ,26.80,,10.08,Paris,,France,Growth,Large Cap ,Traditional Investment Managers,2,
Kanon AG,"4,900",0.00,0.7,0,,6/30/22,Aggregated Mutual Funds,Very Low  ,13.19,Active    ,73.37,Osnabrück,,Germany,Blend,Large Cap ,Traditional Investment Managers,1,
Scholtz & Co. L.L.C.,"4,892",0.00,0.7,"(12,562)",(71.97),9/30/22,13F,Low       ,37.38,Active    ,135.74,Stamford,CT,USA,Growth,Large Cap ,Traditional Investment Managers,,
Vestcap Investment Management Inc.,"4,890",0.00,0.7,0,,9/30/21,Aggregated Mutual Funds,Low       ,35.88,Active    ,26.75,Toronto,ON,Canada,Growth,Large Cap ,Traditional Investment Managers,1,
Insight Wealth Partners LLC,"4,871",0.00,0.7,(5),(0.10),9/30/22,13F,Low       ,28.50,Active    ,28.39,Plano,TX,USA,Growth,Large Cap ,Traditional Investment Managers,,
Seaside Wealth Management Inc.,"4,865",0.00,0.7,"1,357",38.68,9/30/22,13F,,,Active    ,3.40,Carlsbad,CA,USA,Blend,Large Cap ,Traditional Investment Managers,,
Townsend & Associates Inc.,"4,862",0.00,0.7,"(17,969)",(78.70),9/30/22,13F,Moderate  ,50.15,Active    ,124.75,Westminster,CO,USA,GARP,Large Cap ,Family Offices/Trusts,,
Stordahl Capital Management Inc.,"4,853",0.00,0.7,(408),(7.76),9/30/22,13F,Very Low  ,6.01,Passive   ,4.21,Greenwood Village,CO,USA,Growth,Large Cap ,Traditional Investment Managers,,
Royal London Unit Trust Managers Ltd.,"4,834",0.00,0.7,"(1,000)",(17.14),8/31/22,Aggregated Mutual Funds,Very Low  ,10.19,Active    ,361.14,London,,United Kingdom,Growth,Large Cap ,Traditional Investment Managers,1,
Banca del Sempione SA,"4,823",0.00,0.7,939,24.18,9/30/22,Aggregated Mutual Funds,Moderate  ,86.06,Active    ,49.38,Lugano,,Switzerland,Growth,Large Cap ,Traditional Investment Managers,2,
Keystone Financial Services,"4,803",0.00,0.7,0,,9/30/22,13F,,,Active    ,23.47,Loveland,CO,USA,Blend,Large Cap ,Family Offices/Trusts,,
Qpula Trading Management LP,"4,802",0.00,0.7,"4,802",,9/30/22,13F,,,Active    ,10.45,New York,NY,USA,Growth,Large Cap ,Hedge Fund Managers (<5% stake),,
Banque Degroof Petercam SA,"4,800",0.00,0.7,0,,3/31/22,Aggregated Mutual Funds,Very Low  ,19.83,Active    ,17.67,Brussels,,Belgium,Growth,Large Cap ,Traditional Investment Managers,1,
Vvb Vermögensverwaltung Braunenberg Gmbh,"4,800",0.00,0.7,0,,2/28/22,Aggregated Mutual Funds,Very Low  ,15.70,Active    ,11.07,Aalen,,Germany,Growth,Large Cap ,Traditional Investment Managers,1,
W. H. Reaves & Co. Inc.,"4,800",0.00,0.7,0,,9/30/22,13F,Low       ,26.53,Active    ,"2,899.50",Jersey City,NJ,USA,Blend,Large Cap ,Traditional Investment Managers,,
Cowen Prime Advisors LLC,"4,780",0.00,0.7,0,,9/30/22,13F,Low       ,32.89,Active    ,206.77,New York,NY,USA,Blend,Small Cap ,Traditional Investment Managers,,
Hypo Vorarlberg Bank AG,"4,780",0.00,0.7,0,,8/31/21,Aggregated Mutual Funds,Very Low  ,15.68,Active    ,38.88,Bregenz,,Austria,Blend,Large Cap ,Traditional Investment Managers,1,
Laurel Wealth Planning LLC,"4,779",0.00,0.7,(727),(13.20),9/30/22,13F,,,Active    ,8.57,Edina,MN,USA,Blend,Large Cap ,Family Offices/Trusts,,
Fisher Dugmore Securities (Pty) Ltd.,"4,778",0.00,0.7,0,,9/30/22,Aggregated Mutual Funds,Very Low  ,17.99,Active    ,21.92,,,South Africa,Blend,Large Cap ,Traditional Investment Managers,2,
Keating Investment Counselors Inc.,"4,773",0.00,0.7,(56),(1.16),9/30/22,13F,Very Low  ,12.29,Active    ,205.50,Delray Beach,FL,USA,GARP,Large Cap ,Traditional Investment Managers,,
JMG Financial Group Ltd.,"4,730",0.00,0.7,0,,12/31/22,13F,Very Low  ,6.19,Active    ,7.27,Downers Grove,IL,USA,Growth,Large Cap ,Family Offices/Trusts,,
Syverson Strege & Co.,"4,726",0.00,0.7,1,0.02,9/30/22,13F,,,Active    ,13.07,West Des Moines,IA,USA,Value,Large Cap ,Traditional Investment Managers,,
Citibank N.A. London Branch,"4,721",0.00,0.7,0,,6/30/22,Aggregated Mutual Funds,Low       ,22.18,Active    ,12.42,London,,United Kingdom,Growth,Large Cap ,Banks/Investment Banks,1,
Red Tortoise LLC,"4,712",0.00,0.7,(13),(0.28),9/30/22,13F,,,Active    ,6.13,Atlanta,GA,USA,Growth,Large Cap ,Family Offices/Trusts,,
Ashford Capital Management Inc,"4,710",0.00,0.7,(100),(2.08),9/30/22,13F,Low       ,32.45,Active    ,663.00,Wilmington,DE,USA,Growth,Multi Cap ,Traditional Investment Managers,,
Evolution Advisers Inc.,"4,690",0.00,0.7,(200),(4.09),12/31/22,13F,,,Active    ,6.51,Midlothian,VA,USA,Blend,Large Cap ,Traditional Investment Managers,,
Palladiem LLC,"4,687",0.00,0.7,(150),(3.10),9/30/22,13F,,,Active    ,5.78,Bryn Mawr,PA,USA,Growth,Large Cap ,Traditional Investment Managers,,
